Entry,ProteinClass
O43614,GPCR
Q96PH1,Channel
P42892,Protease
Q9NY46,Channel
O00305,Channel
P29973,Channel
P0DM80,Phosphatase
P19711,ATPase
P08173,GPCR
P14616,RTK
P20309,GPCR
P09620,Protease
P21728,GPCR
P29376,RTK
P01889,MHC
P35523,Channel
Q08DA1,ATPase
Q9ULK0,Channel
P06344,MHC
P41181,Aquaporin
P79171,Protease
P49682,GPCR
Q9NZ08,Protease
Q60751,RTK
P36896,Ser:Thr
P32361,Ser:Thr
P06756,Integrin
P07151,MHC
Q64605,Phosphatase
P0AEH1,Protease
P04440,MHC
P35414,GPCR
O14672,Protease
P54829,Phosphatase
P49238,GPCR
O14843,GPCR
O00299,Channel
O54890,Integrin
Q8UJW4,Aquaporin
Q9SZC9,ATPase
Q8LPB4,Ser:Thr
Q5JUK3,Channel
Q13873,Ser:Thr
P42261,Channel
P9WHW5,Phosphatase
Q04475,MHC
Q8N6U8,GPCR
P20702,Integrin
P17706,Phosphatase
Q00555,ATPase
P48960,GPCR
Q62413,RTK
O39928,ATPase
P01903,MHC
P34998,GPCR
P57789,Channel
P13134,Protease
Q9UQ90,Protease
Q5R3K3,Channel
P54830,Phosphatase
Q02641,Channel
P71408,Protease
P16092,RTK
P24348,RTK
O94886,Channel
Q9SSL9,Ser:Thr
P01921,MHC
P01899,MHC
Q9FF53,Aquaporin
Q9Y653,GPCR
P30550,GPCR
P67812,Protease
Q9GZU1,Channel
Q60629,RTK
Q8WXD0,GPCR
P30939,GPCR
P01902,MHC
P38444,Ser:Thr
P79143,Protease
P18052,Phosphatase
Q99250,Channel
P51788,Channel
P41597,GPCR
Q63HR2,Phosphatase
P46925,Protease
Q9LX29,Ser:Thr
Q8N5C1,Channel
Q7L1W4,Channel
P20020,ATPase
O94759,Channel
P30559,GPCR
P05555,Integrin
Q05909,Phosphatase
C0LGW6,Ser:Thr
P09581,RTK
Q8I6U4,Protease
P22888,GPCR
P54760,RTK
P04228,MHC
O43526,Channel
P21817,Channel
Q9BXC1,GPCR
P38995,ATPase
P56373,Channel
Q8IZF0,Channel
Q14654,Channel
P98194,ATPase
P09391,Protease
O14522,Phosphatase
P35992,Phosphatase
P14416,GPCR
Q9NS40,Channel
P54753,RTK
O75473,GPCR
P41146,GPCR
O53945,Protease
P63328,Phosphatase
P25116,GPCR
Q9D8V0,Protease
P19456,ATPase
Q62132,Phosphatase
P28827,Phosphatase
P23470,Phosphatase
Q08209,Phosphatase
P36894,Ser:Thr
P51681,GPCR
P31644,Channel
P18614,Integrin
O95833,Channel
P28566,GPCR
P41143,GPCR
Q96Q04,Ser:Thr
P35499,Channel
Q9HAR2,GPCR
P07550,GPCR
Q9XIC7,Ser:Thr
P14438,MHC
P47863,Aquaporin
Q6XAT2,Ser:Thr
P56696,Channel
P48452,Phosphatase
P35462,GPCR
Q04609,Protease
Q04656,ATPase
P54493,Protease
P27037,Ser:Thr
P35367,GPCR
Q16620,RTK
Q9LVM1,ATPase
P43681,Channel
P15127,RTK
P13765,MHC
Q9NZA1,Channel
P14867,Channel
O09127,RTK
P18468,MHC
P05023,ATPase
O43464,Protease
Q5UB51,ATPase
P04230,MHC
P05024,ATPase
P15144,Protease
P21802,RTK
Q8TEB9,Protease
P16144,Integrin
P01898,MHC
P51800,Channel
P06494,RTK
P21452,GPCR
O75762,Channel
P30518,GPCR
O91464,ATPase
Q6J8I9,Aquaporin
Q5T3F8,Channel
O14520,Aquaporin
Q9UL62,Channel
P27040,Ser:Thr
O95180,Channel
A2A8L5,Phosphatase
Q9D9D8,Phosphatase
D2WKD8,ATPase
O94966,Protease
Q8IM15,Protease
P29991,ATPase
P09055,Integrin
P01911,MHC
Q9Y271,GPCR
P47865,Aquaporin
P54302,Phosphatase
P55144,RTK
P04191,ATPase
P47900,GPCR
P16473,GPCR
P56199,Integrin
Q5T848,GPCR
P30530,RTK
P18089,GPCR
P26663,ATPase
P14340,ATPase
Q9Z2B5,Ser:Thr
Q03463,ATPase
Q9P0L9,Channel
P46098,Channel
P79483,MHC
O75899,GPCR
P13637,ATPase
Q9P1Z3,Channel
P25101,GPCR
P47871,GPCR
Q14524,Channel
P04626,RTK
Q14832,GPCR
P28472,Channel
P08172,GPCR
A5HUL4,MHC
O28846,Aquaporin
O75365,Phosphatase
Q9NY72,Channel
P19712,ATPase
P22607,RTK
Q9UM00,Channel
O75460,Ser:Thr
P18084,Integrin
P29323,RTK
P54756,RTK
Q92847,GPCR
Q15375,RTK
P17763,ATPase
Q0VCY0,ATPase
O75311,Channel
P25025,GPCR
Q9BXJ8,Channel
Q9C5U0,Phosphatase
P51684,GPCR
Q99IB8,ATPase
Q9XTW2,Ser:Thr
P37023,Ser:Thr
P54764,RTK
P37173,Ser:Thr
O14842,GPCR
P36897,Ser:Thr
Q9FL28,Ser:Thr
Q9Y3Q0,Protease
Q64632,Integrin
O81108,ATPase
P14740,Protease
Q9ZVR7,Ser:Thr
Q14957,Channel
Q8NEJ0,Phosphatase
P36888,RTK
P09958,Protease
P13569,ATPase
Q9NZI2,Channel
P29320,RTK
P18962,Protease
Q9Y5S1,Channel
P48547,Channel
P00533,RTK
P47735,Ser:Thr
P05107,Integrin
Q14416,GPCR
Q05901,Channel
Q69422,ATPase
Q9SR05,Ser:Thr
O70274,Phosphatase
P06339,MHC
P05981,Protease
O60741,Channel
Q07075,Protease
Q01974,RTK
O15552,GPCR
A0A0A0MSA1,Channel
Q01726,GPCR
Q9NQA5,Channel
Q13705,Ser:Thr
Q9Y4W6,Protease
H9GBW4,MHC
P06213,RTK
Q96662,ATPase
A8R7E6,Ser:Thr
P01904,MHC
Q13224,Channel
B9DFX7,ATPase
Q6V7J5,MHC
Q9Y3Q4,Channel
P23469,Phosphatase
P50406,GPCR
P08908,GPCR
Q6ZXT3,Aquaporin
Q16832,RTK
Q8IU99,Channel
P18507,Channel
Q84XU2,Phosphatase
P16391,MHC
Q12866,RTK
P49286,GPCR
O43497,Channel
P78348,Channel
Q15262,Phosphatase
P0AD65,Protease
P41594,GPCR
P26045,Phosphatase
Q9H244,GPCR
P41586,GPCR
A0M8U4,ATPase
Q9UK17,Channel
P38445,Ser:Thr
O15247,Channel
Q9UGM1,Channel
E0W1I1,Ser:Thr
Q16827,Phosphatase
P04629,RTK
B0B9A0,Protease
P23634,ATPase
Q81258,ATPase
P14434,MHC
P21803,RTK
Q70CQ3,Protease
Q9P0X4,Channel
Q91044,RTK
Q9UHX3,GPCR
P30411,GPCR
P25103,GPCR
Q14028,Channel
P08514,Integrin
P07333,RTK
P09208,RTK
P33478,ATPase
Q13304,GPCR
P9WI79,Ser:Thr
P08912,GPCR
P08581,RTK
